pwmu 1710 10 5 1
ykmb 1075 10 5 10
wohp 1990 8 9 1
zjdp 1323 9 6 1
qatq 1119 10 8 7
djja 1874 10 2 9
owtg 1587 8 1 8
cubq 1387 9 0 2
utns 1206 8 9 10
cidx 1441 10 6 2
fbdw 1566 8 7 0
ghao 1412 10 4 10
cvwx 1984 8 1 1
eype 1405 10 8 6
novl 1806 9 3 0
rbmr 1654 8 8 4
lrfk 1275 10 7 1
gdin 1939 9 0 6
jucl 1133 10 7 4
wptn 1025 8 4 1
fawq 1193 10 3 0
nlyg 1323 10 8 0
kjxw 1462 8 5 4
fzjr 1226 8 6 9
eloe 1851 9 0 5
esnm 1108 8 0 8
shko 1665 10 4 8
zcbm 1893 9 8 9
owzi 1903 9 9 4
rprn 1186 10 4 9
trhy 1379 9 1 2
ayya 1138 10 8 4
fixl 1214 8 9 2
ohty 1085 8 6 8
fubc 1319 9 5 10
novt 1523 9 6 8
mwvr 1610 10 4 10
ztyc 1124 8 10 3
rmuo 1254 10 2 1
icva 1715 8 5 2
eucl 1112 8 8 6
uisp 1620 10 5 10
addi 1547 9 9 9
aguz 1665 10 3 6
jcav 1879 8 1 7
ffwh 1623 9 1 3
qraq 1943 9 5 7
zcpx 1341 9 6 10
nypb 1380 9 10 10
aybk 1697 10 1 7
